GRB Name,Trigger Time,RA (deg),DEC (deg),T90 (sec),Normalised Duration,source
GRB180218A,1518966845,46.28,52.59,3,3,astrosat
GRB180210C,1518283766,--,--,7,7,astrosat
GRB180210A,1518265478,1.8,18.35,29,29,astrosat
GRB180128B,1517119403,71.28,-9.04,6,6,astrosat
GRB180125A,1516915358,213.32,-52.67,24,24,astrosat
GRB180120A,1516424293,151.77,27.79,24,24,astrosat
GRB180113A,1515811626,19.215,68.682,12,12,astrosat
GRB180113B,1515802560,6.7,24.02,11,11,astrosat
GRB180112B,1515787947,--,--,9,9,astrosat
GRB180112A,1515774638,173.92,23.06,226,226,astrosat
GRB180103A,1514941710,159.59,-53.56,157,157,astrosat
GRB171227A,1514332813,290.99,-47.01,24,24,astrosat
GRB171223A,1514057895,115.84,-33.48,0.27,0.27,astrosat
GRB171213A,1513128388,150.38,36.11,,,astrosat
GRB171211B,1513023368,78.14,1.15,135,135,astrosat
GRB171206A,1512528942,9.48,-78.2,3,3,astrosat
GRB171205A,1512458443,167.42,-12.59,,,astrosat
GRB171201A,1512171181,212.78,23.13,,,astrosat
GRB171126A,1511674723,237.84,+46.76,1.05,1.05,astrosat
GRB171124A,1511501876,335.52,35.22,8.4,8.4,astrosat
GRB171120A,1511184002,163.79,22.46,6.8,6.8,astrosat
GRB171119A,1511135307,135.32,-50.28,10.3,10.3,astrosat
GRB171112A,1510519801,20.467,-59.678,,,astrosat
GRB171108C,1510150850,--,--,0.88,0.88,astrosat
GRB171103A,1509750633,249.54,-10.21,0.46,0.46,astrosat
GRB171101A,1509533388,--,--,10,10,astrosat
GRB171027A,1509092587,61.680,-2.606,81,81,astrosat
GRB171010A,1507662051,66.58,-10.46,68,68,astrosat
GRB170921B,1505966532,132.38,57.05,26,26,astrosat
GRB170915A,1505447491,120.26,-38.42,9,9,astrosat
GRB170910B,1505047548,--,--,3,3,astrosat
GRB170906A,1504658592,203.99,-47.12,70.5,70.5,astrosat
GRB170904B,1504559596,--,--,3,3,astrosat
GRB170901B,1504267200,117.51,-13.23,20,20,astrosat
GRB170830A,1504062930,267.244,-2.000,,,astrosat
GRB170829B,1504000598,326.59,40.65,45,45,astrosat
GRB170825B,1503662409,3.64,20.12,5,5,astrosat
GRB170822A,1503393112,94.39,55.0040,62,62,astrosat
GRB170820A,1503227526,--,--,4,4,astrosat
GRB170808B,1502231270,145.66,2.18,15.8,15.8,astrosat
GRB170808C,1502156050,3.33,62.29,4,4,astrosat
GRB170805A,1501943915,269.33,-18.32,1,1,astrosat
GRB170803B,1501797632,76.5,23.97,,,astrosat
GRB170803A,1501781428,174.950,-16.311,,,astrosat
GRB170803F,1501736829,--,--,6,6,astrosat
GRB170802A,1501687105,52.3,-39.2,,,astrosat
GRB170728B,1501283000,238.04,70.14,,,astrosat
GRB170726A,1501095780,166.42,-34,,,astrosat
GRB170712A,1499829631,--,--,,,astrosat
GRB170705A,1499222748,191.71,18.29,13,13,astrosat
GRB170702A,1499038894,--,--,8,8,astrosat
GRB170614B,1497440397,220.7,47.5,28,28,astrosat
GRB170614A,1497440396,70.55,37.93,29,29,astrosat
GRB170607A,1496877480,7.36,9.24,,,astrosat
GRB170607B,1496875319,246.66,-39.16,19,19,astrosat
GRB170529A,1496041542,164.5,-17.93,28,28,astrosat
GRB170527A,1495884663,192.32,-1.49,51,51,astrosat
GRB170520B,1495294226,--,--,2,2,astrosat
GRB170519B,1495222511,--,--,14,14,astrosat
GRB170511A,1494482352,300.63,33.32,37,37,astrosat
GRB170510A,1494393146,159.91,-39.32,67.8,67.8,astrosat
GRB170424A,1493028751,343.7,-45.12,32,32,astrosat
GRB170423B,1492980926,209.6,26.37,21,21,astrosat
GRB170416A,1492351199,284.22,-57.02,6,6,astrosat
GRB170412B,1492034478,164.38,22.03,51,51,astrosat
GRB170403B,1491238652,246.04,41.81,,,astrosat
GRB170402C,1491165168,--,--,119,119,astrosat
GRB170402A,1491115851,330.36,-10.63,7,7,astrosat
GRB170330A,1490912821,283.33,-13.44,10,10,astrosat
GRB170329A,1490779026,356,23.79,11,11,astrosat
GRB170316A,1489683745,178.27,21.26,12,12,astrosat
GRB170311C,1489239913,--,--,12,12,astrosat
GRB170311B,1489239890,354.92,31.19,13.4,13.4,astrosat
GRB170309A,1489062402,--,--,,,astrosat
GRB170304B,1488605998,--,--,41,41,astrosat
GRB170304A,1488585866,330.50,-73.76,,,astrosat
GRB170228A,1488308580,239.55,-3.59,14,14,astrosat
GRB170222A,1487739659,292.95,28.22,,,astrosat
GRB170220A,1487616481,--,--,,,astrosat
GRB170216A,1487263176,--,--,26,26,astrosat
GRB170212A,1486860539,155.1,-1.48,4,4,astrosat
GRB170210A,1486694896,107.13,-46.8,33,33,astrosat
GRB170209A,1486602518,107.13,-46.8,37,37,astrosat
GRB170208A,1486577476,166.56,-46.78,9,9,astrosat
GRB170207A,1486503903,315.7,55.69,36,36,astrosat
GRB170206C,1486381188,--,--,,,astrosat
GRB170202A,1486060082,152.53,5.002,,,astrosat
GRB170202B,1486019994,--,--,28,28,astrosat
GRB170127C,1485480947,336.38,-63.4,0.91,0.91,astrosat
GRB170126A,1485430242,263.58,-64.76,,,astrosat
GRB170124A,1485291484,291.74,69.61,,,astrosat
GRB170124B,1485236538,291.74,69.61,11,11,astrosat
GRB170121B,1485009862,72.58,-9.26,32,32,astrosat
GRB170121A,1484962615,3.0,-75.62,2,2,astrosat
GRB170115B,1484502554,189.12,-46.85,15,15,astrosat
GRB170105A,1483596847,138.3,61.1,,,astrosat
GRB170102A,1483325478,--,--,,,astrosat
GRB170101B,1483238837,70.6,-1.6,14.7,14.7,astrosat
GRB161218B,1482049960,0.88,-14.7,25,25,astrosat
GRB161218A,1482032854,245.25,-4.113,6,6,astrosat
GRB161207A,1481143380,294.81,-9.93,30,30,astrosat
GRB161203A,1480790466,--,--,8,8,astrosat
GRB161202A,1480720310,356.9,19.64,75.25,75.25,astrosat
GRB161202B,1480689147,--,--,146,146,astrosat
GRB161129A,1480403499,316.19,32.13,36,36,astrosat
GRB161028A,1477662436,--,--,26,26,astrosat
GRB161023A,1477262320,311.03,-47.66,38,38,astrosat
GRB161015A,1476550987,269.15,30.19,15,15,astrosat
GRB161010A,1476106592,275.22,-28.79,12,12,astrosat
GRB161004B,1475622479,112.15,-39.89,10,10,astrosat
GRB161002A,1475429892,--,--,0.87,0.87,astrosat
GRB160917A,1474111819,295.67,46.39,21,21,astrosat
GRB160917B,1474109772,201.36,20.93,19,19,astrosat
GRB160915A,1473979872,--,--,34,34,astrosat
GRB160910A,1473527979,221.44,39.06,11,11,astrosat
GRB160909A,1473384464,242.68,-51.16,-,-,astrosat
GRB160829B,1472480329,--,--,17,17,astrosat
GRB160824B,1472048472,73.0,68.0,3,3,astrosat
GRB160824A,1472046690,80.09,40.03,18.7,18.7,astrosat
GRB160821A,1471811783,171.24,42.34,43,43,astrosat
GRB160806A,1470492060,274.5,10.61,1,1,astrosat
GRB160805A,1470435979,--,--,20.7,20.7,astrosat
GRB160804B,1470284322,122.86,50.3,0.64,0.64,astrosat
GRB160804A,1470274367,221.62,9.99,31.58,31.58,astrosat
GRB160802A,1470118409,28.03,71.36,16.8,16.8,astrosat
GRB160724A,1469356803,56.42,16.23,16,16,astrosat
GRB160721A,1469128858,38.15,34.52,,,astrosat
GRB160720A,1469039037,58.15,73.9,69.8,69.8,astrosat
GRB160720B,1468996513,330.15,-16.69,14,14,astrosat
GRB160712A,1468353221,304.16,-26.958,,,astrosat
GRB160709A,1468093743,236.00,-28.18,0.49,0.49,astrosat
GRB160703A,1467547805,287.39,36.90,45.0,45.0,astrosat
GRB160630A,1467259449,198.26,-56.04,,,astrosat
GRB160625B,1466832715,308.56,6.93,,,astrosat
GRB160623A,1466657977,315.24,42.27,,,astrosat
GRB160620A,1466399175,250.66,30.31,0.99,0.99,astrosat
GRB160618A,1466267624,--,--,0.27,0.27,astrosat
GRB160607A,1465298040,13.66,-4.94,,,astrosat
GRB160530A,1464591826,289.68,-35.63,,,astrosat
GRB160527A,1464314137,218.43,6.68,,,astrosat
GRB160525C,1464173670,--,--,5.075,5.075,astrosat
GRB160522A,1463913661,104.7,21.19,,,astrosat
GRB160521B,1463822040,147.67,79.03,3,3,astrosat
GRB160518A,1463532952,275.14,82.41,,,astrosat
GRB160516A,1463377307,310.83,-55.33,,,astrosat
GRB160512A,1463028368,240.68,-33.09,26,26,astrosat
GRB160509A,1462784326,311.3,76.1,,,astrosat
GRB160508B,1462717953,--,--,27.05,27.05,astrosat
GRB160508A,1462690679,28.7,36.28,24.97,24.97,astrosat
GRB160427A,1461753119,--,--,34,34,astrosat
GRB160424B,1461516121,--,--,44,44,astrosat
GRB160422A,1461326342,42.05,-57.9,12,12,astrosat
GRB160418A,1461002926,--,--,--,--,astrosat
GRB160401A,1459542028,89.73,26.68,,,astrosat
GRB160401C,1459488962,--,--,3,3,astrosat
GRB160401B,1459474443,290.19,-28.9,14,14,astrosat
GRB160330A,1459367484,209.73,26.29,,,astrosat
GRB160325B,1458889165,--,--,13.3,13.3,astrosat
GRB160325A,1458889161,15.65,-72.7,57.0,57.0,astrosat
GRB160324A,1458835116,--,--,48,48,astrosat
GRB160314B,1457993873,167.56,45.67,,,astrosat
GRB160310C,1457627235,--,--,16.2,16.2,astrosat
GRB160309A,1457567946,--,--,67,67,astrosat
GRB160227B,1456603026,123.43,-48.27,,,astrosat
GRB160223B,1456221541,94.99,33.41,8.8,8.8,astrosat
GRB160221B,1456081005,--,--,--,--,astrosat
GRB160216A,1455649830,311.69,-71.55,,,astrosat
GRB160214A,1455441447,--,--,--,--,astrosat
GRB160131A,1454228431,78.17,-7.05,,,astrosat
GRB160128A,1453985984,--,--,22.3,22.3,astrosat
GRB160119C,1453172908,--,--,30.5,30.5,astrosat
GRB160119A,1453172766,211.89,20.47,,,astrosat
GRB160118A,1453080342,17.72,59.78,,,astrosat
GRB160111A,1452496924,43.835,34.176,,,astrosat
GRB160106A,1452120330,181.61,17.45,,,astrosat
GRB160102C,1451773696,143.44,38.75,,,astrosat
GRB160101B,1451625012,1.36,55.23,,,astrosat
GRB151231B,1451569088,150.08,28.81,,,astrosat
GRB151228A,1451271912,214.02,-17.67,,,astrosat
GRB151224A,1450923996,--,--,13.8,13.8,astrosat
GRB151222A,1450771813,354.94,34.1,,,astrosat
GRB151219B,1450516280,--,--,3.94,3.94,astrosat
GRB151217A,1450328302,--,--,13,13,astrosat
GRB151130A,1448855450,136.27,-18.82,,,astrosat
GRB151129A,1448784006,60.82,-11.49,,,astrosat
GRB151120A,1448007771,157.25,-32.52,,,astrosat
GRB151117A,1447756628,19.64,-64.1,5,5,astrosat
GRB151107B,1446927892,24.1,44.8,,,astrosat
GRB151106A,1446816192,--,--,39,39,astrosat
GRB151104A,1446607431,--,--,68,68,astrosat
GRB151027A,1445918304,272.49,61.35,,,astrosat
GRB151021B,1445453968,104.34,-10.96,,,astrosat
GRB151019A,1445241927,--,--,5.4,5.4,astrosat
GRB151006A,1444125303,147.425,+70.503,,,astrosat
