1,bn101116481,GRB101116481,32.0,-81.2,299.4039,-35.3974,7.26,1289907011.022779,1289907625.433649,1289907146.73703,GRB,1.0,64,5,3,4,259,1352,11000000000000,167.1657,-23.0435,231.7058,-19.3081,63.5323,-70.305,13.0019,-31.9839,"Fermi, GBM"
0,bn220921473,GRB220921473,94.33,-80.59,292.3674,-28.1272,11.45,1663759153.365675,1663759759.583066,1663759284.439637,GRB,1.0,2048,14,3,4,259,1352,10100000000,238.35,1.3333,158.2557,-37.7314,22.7175,-42.6884,45.0251,339.03,"Fermi, GBM"
1,bn170130697,GRB170130697,296.39,-80.45,313.5556,-28.9608,10.73,1485794460.173607,1485795074.584195,1485794593.295757,GRB,1.0,4096,17,3,4,259,1352,10001000000,192.35,-2.7,331.5264,0.3135,241.8516,-46.0514,39.0328,281.939,"Fermi, GBM"
3,bn110205027,GRB110205027,359.73,-80.44,305.6188,-36.4127,9.24,1296866209.99268,1296866824.402182,1296866344.65073,GRB,1.0,1024,13,3,4,259,1352,1000100000,44.6795,-25.4401,278.2002,0.5672,187.9412,24.5446,123.997,-88.9999,"Fermi, GBM"
1,bn110825265,GRB110825265,251.31,-80.28,311.8442,-21.766,5.18,1314253194.22064,1314253808.630826,1314253331.438765,GRB,1.0,4096,17,3,4,259,1352,1010000,113.6174,-2.4236,153.5875,43.9709,154.3077,-46.0268,45.9693,192.96,"Fermi, GBM"
0,bn240421224,GRB240421224,314.19,-80.23,312.7586,-31.8637,7.55,1713676788.826999,1713677395.045155,1713676919.901082,GRB,0.9608,2048,14,3,4,259,1352,100000001000,129.1333,0.2333,7.2138,-10.5375,86.9256,43.8347,140.0,64.0,"Fermi, GBM"
1,bn160919613,GRB160919613,266.15,-80.21,313.1964,-23.9433,4.87,1474296070.307797,1474296676.524867,1474296201.637642,GRB,1.0,256,8,3,4,259,1352,1001000000,230.25,18.8333,187.1143,1.5224,97.1873,-2.7432,96.937,270.361,"Fermi, GBM"
1,bn120830212,GRB120830212,337.87,-80.04,309.896,-35.1152,3.46,1346302953.990005,1346303568.400432,1346303092.744271,GRB,1.0,1024,13,3,4,259,1352,11000,222.1691,-25.509,179.7178,19.8881,279.1888,24.4586,109.028,120.925,"Fermi, GBM"
2,bn140323433,GRB140323433,356.959,-79.905,306.3699,-36.795,0.0006,1395570039.485438,1395570653.896751,1395570173.119716,GRB,1.0,1024,13,3,4,259,1352,1010000000000,92.65,-18.6333,4.8328,-3.4245,101.7213,-63.4841,30.5831,62.8307,"Swift, XRT"
0,bn220415645,GRB220415645,298.38,-79.82,314.204,-29.3995,3.87,1650036402.721904,1650037017.132533,1650036539.684147,GRB,1.0,512,11,3,4,259,1352,100000001000,352.8167,-6.5167,6.2354,-3.9370000000000003,93.1449,38.0747,137.121,78.6481,"Fermi, GBM"
0,bn181007737,GRB181007737,211.22,-79.69,306.3171,-17.3042,12.38,1538933952.689324,1538934567.100194,1538934088.37171,GRB,0.9529,256,8,3,4,259,1352,1100000000,63.1,-3.9667,193.0238,-42.7912,13.9543,-47.205,53.0,355.0,"Fermi, GBM"
0,bn240112914,GRB240112914,148.48,-79.38,295.0811,-19.3261,11.1,1705096428.641751,1705097043.05584,1705096564.452723,GRB,0.9451,128,6,3,4,259,1352,10000100000,86.4667,-14.7333,302.8379,-7.8218,199.8522,-58.5613,26.0,266.0,"Fermi, GBM"
1,bn100325246,GRB100325246,209.14,-79.1,306.1035,-16.6314,7.18,1269496345.450303,1269496836.97928,1269496483.948727,GRB,1.0,512,11,3,4,259,1352,10010010000000,247.0638,-25.4825,5.9886,-12.4683,154.3376,-75.4392,12.0959,78.3903,"Fermi, GBM"
10,bn100507577,GRB100507577,2.9,-79.01,305.3277,-37.9323,2.5300000000000002,1273240144.397655,1273240750.615892,1273240275.727701,GRB,1.0,512,11,3,4,259,1352,1100,345.3742,25.2436,12.5946,63.9693,55.5648,-19.6651,63.9447,152.896,"Fermi, GBM"
