Trigger Time,Type,Sigma,Normalised Duration,Max Count,source
1040797460,,-1.0,,-1.0,integral
1040801243,,-1.0,,-1.0,integral
1040812075,,-1.0,,-1.0,integral
1040823355,,-1.0,,-1.0,integral
1040824033,,-1.0,,-1.0,integral
1040832309,,-1.0,,-1.0,integral
1040849099,,-1.0,,-1.0,integral
1040855306,,-1.0,,-1.0,integral
1040873654,,-1.0,,-1.0,integral
1040888313,,-1.0,,-1.0,integral
1040896001,,-1.0,,-1.0,integral
1040896429,,-1.0,,-1.0,integral
1040903060,,-1.0,,-1.0,integral
1040913736,,-1.0,,-1.0,integral
1040914257,,-1.0,,-1.0,integral
1040914419,,-1.0,,-1.0,integral
1040918357,,-1.0,,-1.0,integral
1040997573,,-1.0,,-1.0,integral
1040997928,,-1.0,,-1.0,integral
1041012369,,-1.0,,-1.0,integral
1041012370,,-1.0,,-1.0,integral
1041012370,,-1.0,,-1.0,integral
1041025940,,-1.0,,-1.0,integral
1041027926,,-1.0,,-1.0,integral
1041034791,,-1.0,,-1.0,integral
1041037743,,-1.0,,-1.0,integral
1041044404,,-1.0,,-1.0,integral
1041044405,,-1.0,,-1.0,integral
1041044405,,-1.0,,-1.0,integral
1041044405,,-1.0,,-1.0,integral
1041044405,,-1.0,,-1.0,integral
1041046867,,-1.0,,-1.0,integral
1041054763,,-1.0,,-1.0,integral
1041061279,,-1.0,,-1.0,integral
1041075908,,-1.0,,-1.0,integral
1041078965,,-1.0,,-1.0,integral
1041083454,,-1.0,,-1.0,integral
1041085656,,-1.0,,-1.0,integral
1041086800,,-1.0,,-1.0,integral
1041086801,,-1.0,,-1.0,integral
1041086801,,-1.0,,-1.0,integral
1041086801,,-1.0,,-1.0,integral
1041086801,,-1.0,,-1.0,integral
1041095356,,-1.0,,-1.0,integral
1041103019,,-1.0,,-1.0,integral
1041104191,,-1.0,,-1.0,integral
1041108991,,-1.0,,-1.0,integral
1041109193,,-1.0,,-1.0,integral
1041110797,,-1.0,,-1.0,integral
1041158687,,-1.0,,-1.0,integral
1041165035,,-1.0,,-1.0,integral
1041175089,,-1.0,,-1.0,integral
1041180122,,-1.0,,-1.0,integral
1041180122,,-1.0,,-1.0,integral
1041201055,,-1.0,,-1.0,integral
1041201300,,-1.0,,-1.0,integral
1041201609,,-1.0,,-1.0,integral
1041233989,,-1.0,,-1.0,integral
1041233989,,-1.0,,-1.0,integral
1041233989,,-1.0,,-1.0,integral
1041234005,,-1.0,,-1.0,integral
1041234005,,-1.0,,-1.0,integral
1041234692,,-1.0,,-1.0,integral
1041241140,,-1.0,,-1.0,integral
1041256700,,-1.0,,-1.0,integral
1041262182,,-1.0,,-1.0,integral
1041266862,,-1.0,,-1.0,integral
1041267315,,-1.0,,-1.0,integral
1041267557,,-1.0,,-1.0,integral
1041268023,,-1.0,,-1.0,integral
1041268034,,-1.0,,-1.0,integral
1041268034,,-1.0,,-1.0,integral
1041268034,,-1.0,,-1.0,integral
1041268034,,-1.0,,-1.0,integral
1041268034,,-1.0,,-1.0,integral
1041268037,,-1.0,,-1.0,integral
1041279899,,-1.0,,-1.0,integral
1041281064,,-1.0,,-1.0,integral
1041281064,,-1.0,,-1.0,integral
1041294370,,-1.0,,-1.0,integral
1041304503,,-1.0,,-1.0,integral
1041308656,,-1.0,,-1.0,integral
1041326923,,-1.0,,-1.0,integral
1041331252,,-1.0,,-1.0,integral
1041332944,,-1.0,,-1.0,integral
1041358754,,-1.0,,-1.0,integral
1041358754,,-1.0,,-1.0,integral
1041359119,,-1.0,,-1.0,integral
1041364824,,-1.0,,-1.0,integral
1041365079,,-1.0,,-1.0,integral
1041386282,,-1.0,,-1.0,integral
1041397596,,-1.0,,-1.0,integral
1041403603,,-1.0,,-1.0,integral
1041410158,,-1.0,,-1.0,integral
1041412809,,-1.0,,-1.0,integral
1041417933,,-1.0,,-1.0,integral
1041419722,,-1.0,,-1.0,integral
1041428138,,-1.0,,-1.0,integral
1041437068,,-1.0,,-1.0,integral
1041453812,,-1.0,,-1.0,integral
1041453817,,-1.0,,-1.0,integral
1041453818,,-1.0,,-1.0,integral
1041457697,,-1.0,,-1.0,integral
1041457703,,-1.0,,-1.0,integral
1041458320,,-1.0,,-1.0,integral
1041458323,,-1.0,,-1.0,integral
1041459828,,-1.0,,-1.0,integral
1041494077,,-1.0,,-1.0,integral
1041498431,,-1.0,,-1.0,integral
1041522463,,-1.0,,-1.0,integral
1041522469,,-1.0,,-1.0,integral
1041522469,,-1.0,,-1.0,integral
1041546367,,-1.0,,-1.0,integral
1041549532,,-1.0,,-1.0,integral
1041549532,,-1.0,,-1.0,integral
1041549532,,-1.0,,-1.0,integral
1041549539,,-1.0,,-1.0,integral
1041567289,,-1.0,,-1.0,integral
1041603009,,-1.0,,-1.0,integral
1041605569,,-1.0,,-1.0,integral
1041605896,,-1.0,,-1.0,integral
1041609955,,-1.0,,-1.0,integral
1041610927,,-1.0,,-1.0,integral
1041639849,,-1.0,,-1.0,integral
1041639849,,-1.0,,-1.0,integral
1041669355,,-1.0,,-1.0,integral
1041677360,,-1.0,,-1.0,integral
1041706137,,-1.0,,-1.0,integral
1041706137,,-1.0,,-1.0,integral
1041709705,,-1.0,,-1.0,integral
1041711157,,-1.0,,-1.0,integral
1041711765,,-1.0,,-1.0,integral
1041714327,,-1.0,,-1.0,integral
1041715630,,-1.0,,-1.0,integral
1041715637,,-1.0,,-1.0,integral
1041716184,,-1.0,,-1.0,integral
1041716543,,-1.0,,-1.0,integral
1041716758,,-1.0,,-1.0,integral
1041717085,,-1.0,,-1.0,integral
1041717475,,-1.0,,-1.0,integral
1041717692,,-1.0,,-1.0,integral
1041717938,,-1.0,,-1.0,integral
1041752311,,-1.0,,-1.0,integral
1041775343,,-1.0,,-1.0,integral
1041777246,,-1.0,,-1.0,integral
1041777252,,,,,integral
1041781552,,-1.0,,-1.0,integral
1041782220,,-1.0,,-1.0,integral
1041789786,,-1.0,,-1.0,integral
1041789786,,-1.0,,-1.0,integral
1041807951,,-1.0,,-1.0,integral
1041815982,,-1.0,,-1.0,integral
1041823009,,-1.0,,-1.0,integral
1041825141,,-1.0,,-1.0,integral
1041832270,,-1.0,,-1.0,integral
1041843790,,-1.0,,-1.0,integral
1041847026,,-1.0,,-1.0,integral
1041848203,,-1.0,,-1.0,integral
1041848203,,-1.0,,-1.0,integral
1041878415,,-1.0,,-1.0,integral
1041886970,,-1.0,,-1.0,integral
1041889944,,-1.0,,-1.0,integral
1041891457,,-1.0,,-1.0,integral
1041891458,,-1.0,,-1.0,integral
1041899930,,-1.0,,-1.0,integral
1041904494,,-1.0,,-1.0,integral
1041906074,,-1.0,,-1.0,integral
1041907128,,-1.0,,-1.0,integral
1041918156,,-1.0,,-1.0,integral
1041924118,,-1.0,,-1.0,integral
1041927950,,-1.0,,-1.0,integral
1041929981,,-1.0,,-1.0,integral
1041929985,,-1.0,,-1.0,integral
1041936769,,-1.0,,-1.0,integral
1041946263,,-1.0,,-1.0,integral
1041946468,Undefined,-1.0,1.3,-1.0,integral
1041946637,,-1.0,,-1.0,integral
1041949360,,-1.0,,-1.0,integral
1042010042,,-1.0,,-1.0,integral
1042014885,,-1.0,,-1.0,integral
1042033044,,-1.0,,-1.0,integral
1042033045,,-1.0,,-1.0,integral
1042048458,,-1.0,,-1.0,integral
1042060383,,-1.0,,-1.0,integral
1042062912,,-1.0,,-1.0,integral
1042070880,,-1.0,,-1.0,integral
1042097273,,-1.0,,-1.0,integral
1042105057,,,,,integral
1042106962,,-1.0,,-1.0,integral
1042121944,,-1.0,,-1.0,integral
1042122911,,-1.0,,-1.0,integral
1042129350,,-1.0,,-1.0,integral
1042132501,,-1.0,,-1.0,integral
1042139552,,-1.0,,-1.0,integral
1042173338,,-1.0,,-1.0,integral
1042189360,,-1.0,,-1.0,integral
1042191568,,-1.0,,-1.0,integral
1042191600,,-1.0,,-1.0,integral
1042193590,,-1.0,,-1.0,integral
1042202662,,-1.0,,-1.0,integral
1042210654,,-1.0,,-1.0,integral
1042216379,,-1.0,,-1.0,integral
1042216383,,-1.0,,-1.0,integral
1042216383,,-1.0,,-1.0,integral
1042224939,,-1.0,,-1.0,integral
1042234787,,-1.0,,-1.0,integral
1042235232,,-1.0,,-1.0,integral
1042267966,,-1.0,,-1.0,integral
1042267967,,-1.0,,-1.0,integral
1042269054,,-1.0,,-1.0,integral
1042271957,,-1.0,,-1.0,integral
1042272182,,-1.0,,-1.0,integral
1042272891,,-1.0,,-1.0,integral
1042277322,,-1.0,,-1.0,integral
1042287653,,-1.0,,-1.0,integral
1042299744,,-1.0,,-1.0,integral
1042303372,,-1.0,,-1.0,integral
1042304111,,-1.0,,-1.0,integral
1042317002,,-1.0,,-1.0,integral
1042323364,,-1.0,,-1.0,integral
1042328539,,-1.0,,-1.0,integral
1042345109,,-1.0,,-1.0,integral
1042345109,,-1.0,,-1.0,integral
1042347815,,-1.0,,-1.0,integral
1042348701,,-1.0,,-1.0,integral
1042362111,,-1.0,,-1.0,integral
1042363314,,-1.0,,-1.0,integral
1042363383,,-1.0,,-1.0,integral
1042378470,,-1.0,,-1.0,integral
1042394478,,-1.0,,-1.0,integral
1042399985,,-1.0,,-1.0,integral
1042402699,,-1.0,,-1.0,integral
1042408213,,-1.0,,-1.0,integral
1042418512,,-1.0,,-1.0,integral
1042434149,,-1.0,,-1.0,integral
1042455290,,-1.0,,-1.0,integral
1042461287,,-1.0,,-1.0,integral
1042463892,,-1.0,,-1.0,integral
1042477907,,-1.0,,-1.0,integral
1042483090,,-1.0,,-1.0,integral
1042489665,,-1.0,,-1.0,integral
