name,ra,dec,lii,bii,error_radius,time,end_time,Trigger Time,trigger_type,reliability,trigger_timescale,trigger_algorithm,channel_low,channel_high,adc_low,adc_high,detector_mask,geo_long,geo_lat,ra_scx,dec_scx,ra_scz,dec_scz,theta,phi,localization_source
TGF180814995,203.2167,-79.05,304.9714,-16.3427,25.2167,1534283434.069616,1534284048.478433,1534283570.919447,TGF,1.0,16,119,5,7,1353,4095,11,83.4333,18.9833,143.5303,17.1665,13.5549,64.3205,165.0,220.0,"Fermi, GBM FSW"
TGF240221917,116.117,-78.6833,290.8616,-24.0208,31.9167,1708549058.75203,1708549673.165636,1708549190.562822,TGF,1.0,16,118,5,7,1353,4095,1010001,340.6333,2.3667,335.8311,-11.3419,76.1743,-41.832300000000004,39.9846,85.9861,"Fermi, GBM"
TGF100927599,41.4167,-78.65,296.1726,-36.935,20.3,1285590061.838029,1285590676.249744,1285590194.560343,TGF,1.0,16,116,5,7,1353,4095,10100000011,14.183,8.6,184.9532,-20.6752,176.7145,69.1277,165.0,320.0,"Fermi, GBM FSW"
TGF211106362,89.2167,-77.9667,289.4953,-29.3227,26.0333,1636184347.310919,1636184543.922526,1636184481.585346,TGF,1.0,16,117,5,7,1353,4095,11000000010,163.9,25.4167,237.3219,-24.4196,339.3003,-24.5655,70.0,75.0,"Fermi, GBM FSW"
TGF101230452,354.8667,-77.95,307.6591,-38.5098,28.85,1293702501.204126,1293703115.613507,1293702638.150114,TGF,1.0,16,117,5,7,1353,4095,1100000000010,280.65,9.567,301.4703,-9.2546,204.765,-35.6247,65.0,288.0,"Fermi, GBM FSW"
TGF170316801,105.75,-77.7333,289.2938,-25.8514,29.2,1489687872.418146,1489688486.82805,1489688007.540326,TGF,1.0,16,117,5,7,1353,4095,101000000010,128.85,-17.15,356.8369,-1.4075,264.2277,-61.642,40.0,265.9833,"Fermi, GBM FSW"
TGF211201765,301.0667,-77.5833,316.6217,-30.3387,21.9667,1638379154.48543,1638379768.896581,1638379291.095833,TGF,1.0,16,117,5,7,1353,4095,1001000000010,114.85,12.2,244.5711,-25.8883,128.3335,-42.3314,60.0,308.0,"Fermi, GBM FSW"
TGF140603720,320.0,-77.5167,314.9494,-34.1495,30.9667,1401808503.50837,1401809117.918636,1401808642.310554,TGF,1.0,16,117,5,7,1353,4095,11000000000010,10.3667,1.1167,92.8548,-5.6964,190.6897,-53.8057,45.0,94.0,"Fermi, GBM FSW"
TGF120809447,216.65,-77.3167,308.2038,-15.4296,30.7667,1344501695.513709,1344501834.075782,1344501833.723782,TGF,1.0,16,116,5,7,1353,4095,100000100011,137.983,24.8,164.5299,5.3693,252.0255,-24.9341,55.0,87.0,"Fermi, GBM FSW"
TGF150413702,2.0,-77.2833,306.0166,-39.5836,29.5333,1428936510.654366,1428936772.802854,1428936647.344713,TGF,1.0,16,116,5,7,1353,4095,10000010011,95.5,1.9,49.7611,-24.0837,163.6416,-42.1671,60.0,52.0,"Fermi, GBM FSW"
