Top,Flux,Region,Start,Trigger Time,Links,
10,M2.86,8113,880569060,880569420,880569600,https://www.spaceweatherlive.com/en/archive/1997/11/26/xray.html
11,M2.26,8084,874496100,874496580,874497120,https://www.spaceweatherlive.com/en/archive/1997/09/17/xray.html
12,M2.11,-,880399800,880401000,880402200,https://www.spaceweatherlive.com/en/archive/1997/11/24/xray.html
13,M1.96,8100,878547780,878548200,878548380,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
14,M1.93,-,872895360,872897520,872898840,https://www.spaceweatherlive.com/en/archive/1997/08/29/xray.html
15,M1.74,8100,878606820,878607300,878607600,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
16,M1.73,8040,864244980,864245700,864246420,https://www.spaceweatherlive.com/en/archive/1997/05/21/xray.html
17,M1.6,8113,880943520,880943820,880944420,https://www.spaceweatherlive.com/en/archive/1997/12/01/xray.html
18,M1.49,8076,873203100,873203400,873203640,https://www.spaceweatherlive.com/en/archive/1997/09/02/xray.html
19,M1.46,-,880746840,880747740,880748220,https://www.spaceweatherlive.com/en/archive/1997/11/28/xray.html
20,M1.43,8108,879633060,879633960,879635400,https://www.spaceweatherlive.com/en/archive/1997/11/15/xray.html
21,M1.36,8083,873746820,873747600,873748080,https://www.spaceweatherlive.com/en/archive/1997/09/08/xray.html
22,M1.35,8084,874518300,874519380,874520820,https://www.spaceweatherlive.com/en/archive/1997/09/17/xray.html
23,M1.34,8100,878586900,878588160,878589360,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
24,M1.3,8085,873798300,873798780,873799380,https://www.spaceweatherlive.com/en/archive/1997/09/09/xray.html
25,M1.22,-,880486560,880487520,880487940,https://www.spaceweatherlive.com/en/archive/1997/11/25/xray.html
26,M1.18,8085,874633140,874633800,874633980,https://www.spaceweatherlive.com/en/archive/1997/09/19/xray.html
27,M1.15,-,878624820,878625000,878625120,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
28,M1.14,-,879778560,879779400,879779820,https://www.spaceweatherlive.com/en/archive/1997/11/17/xray.html
29,M1.14,8100,878531520,878531880,878532540,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
30,M1.13,8100,878595360,878595840,878596320,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
31,M1.13,8069,871144200,871144440,871144680,https://www.spaceweatherlive.com/en/archive/1997/08/09/xray.html
32,M1.1,8088,875125440,875126040,875126700,https://www.spaceweatherlive.com/en/archive/1997/09/24/xray.html
33,M1.07,-,878724000,878724360,878724720,https://www.spaceweatherlive.com/en/archive/1997/11/05/xray.html
34,M1.06,-,878616720,878616960,878617140,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
35,M1.06,-,878597880,878598120,878598420,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
36,C9.69,8088,875187600,875188140,875188500,https://www.spaceweatherlive.com/en/archive/1997/09/25/xray.html
37,C9.66,-,878625420,878625600,878625840,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
38,C9.27,-,882675660,882676440,882677220,https://www.spaceweatherlive.com/en/archive/1997/12/21/xray.html
39,C9.27,8100,878710620,878712060,878712960,https://www.spaceweatherlive.com/en/archive/1997/11/05/xray.html
40,C9.23,-,874535940,874536660,874537080,https://www.spaceweatherlive.com/en/archive/1997/09/17/xray.html
41,C9.01,8027,860421000,860422020,860422740,https://www.spaceweatherlive.com/en/archive/1997/04/07/xray.html
42,C8.96,-,878729400,878730000,878730900,https://www.spaceweatherlive.com/en/archive/1997/11/05/xray.html
43,C8.74,8113,880982580,880983060,880983300,https://www.spaceweatherlive.com/en/archive/1997/12/01/xray.html
44,C8.64,8124,882803820,882805260,882806280,https://www.spaceweatherlive.com/en/archive/1997/12/22/xray.html
45,C7.9,8100,878043060,878043360,878043600,https://www.spaceweatherlive.com/en/archive/1997/10/28/xray.html
46,C7.74,8100,878677560,878678220,878678760,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
47,C7.49,-,874459020,874460160,874460340,https://www.spaceweatherlive.com/en/archive/1997/09/17/xray.html
48,C7.36,-,873748800,873749700,873750060,https://www.spaceweatherlive.com/en/archive/1997/09/08/xray.html
49,C7.33,-,871342920,871257780,871258740,https://www.spaceweatherlive.com/en/archive/1997/08/11/xray.html
50,C7.26,-,878615700,878616120,878616360,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
1,X7.03,8307,903478200,903478740,903479280,https://www.spaceweatherlive.com/en/archive/1998/08/18/xray.html
2,X5.57,8307,903562500,903563100,903563400,https://www.spaceweatherlive.com/en/archive/1998/08/19/xray.html
3,X5.37,8384,911716200,911716920,911717340,https://www.spaceweatherlive.com/en/archive/1998/11/22/xray.html
4,X4.77,8395,912228840,912232320,912233580,https://www.spaceweatherlive.com/en/archive/1998/11/28/xray.html
5,X4.03,8307,903428040,903428640,903429120,https://www.spaceweatherlive.com/en/archive/1998/08/18/xray.html
6,X3.81,8210,894441480,894442140,894442800,https://www.spaceweatherlive.com/en/archive/1998/05/06/xray.html
7,X3.59,8384,911751000,911751780,911752320,https://www.spaceweatherlive.com/en/archive/1998/11/22/xray.html
8,X3.24,8384,911802480,911803440,911804280,https://www.spaceweatherlive.com/en/archive/1998/11/23/xray.html
9,X1.79,8307,903388200,903388800,903389400,https://www.spaceweatherlive.com/en/archive/1998/08/17/xray.html
10,X1.77,8210,893309700,893310900,893312580,https://www.spaceweatherlive.com/en/archive/1998/04/23/xray.html
11,X1.61,8210,894115860,894116520,894117060,https://www.spaceweatherlive.com/en/archive/1998/05/02/xray.html
12,X1.57,8307,903995400,903996720,903998100,https://www.spaceweatherlive.com/en/archive/1998/08/24/xray.html
13,X1.54,8384,911873220,911874000,911875020,https://www.spaceweatherlive.com/en/archive/1998/11/24/xray.html
14,X1.54,8210,893667300,893668800,893669880,https://www.spaceweatherlive.com/en/archive/1998/04/27/xray.html
