TGF Name,Ra,Dec,Start Time Observation,End Time Observation,Trigger Time,reliability,GeoLon,GeoLat,Normalised Duration,source
TGF160902121,199.7,-75.7167,1472777545.662493,1472778160.073362,1472777678.624676,1.0,256.1667,22.8833,614.4108691215515,fermi_tgf
TGF201125415,359.15,-75.7167,1606294491.247648,1606295105.660328,1606294627.186359,1.0,252.7667,10.6,614.4126799106598,fermi_tgf
TGF121206588,190.2833,-75.5667,1354799095.476061,1354799709.887373,1354799229.574469,1.0,120.483,-8.833,614.4113118648529,fermi_tgf
TGF180220385,191.1,-75.3167,1519114301.367711,1519114915.779385,1519114439.13019,1.0,142.05,-18.2333,614.4116740226746,fermi_tgf
TGF220924352,38.6333,-75.2833,1664000694.543707,1664001308.954336,1664000829.68194,1.0,124.9333,17.9333,614.4106290340424,fermi_tgf
TGF230801655,71.6833,-74.5,1690897289.897338,1690897896.117747,1690897421.179949,1.0,137.9833,24.9667,606.220409154892,fermi_tgf
TGF101206347,16.1667,-74.2833,1291619836.960311,1291620131.877239,1291619976.01862,1.0,295.133,4.383,294.9169280529022,fermi_tgf
TGF140515334,119.15,-74.2667,1400133508.588077,1400133950.962664,1400133643.742041,1.0,284.65,8.2167,442.3745868206024,fermi_tgf
TGF220219401,67.2833,-74.2167,1645259749.532738,1645260363.946787,1645259887.407669,1.0,150.9333,-6.2167,614.4140491485596,fermi_tgf
TGF171113741,358.85,-74.1833,1510591476.678877,1510592050.127868,1510591608.248873,1.0,162.75,21.8833,573.4489908218384,fermi_tgf
TGF110625403,127.6167,-74.0667,1308987460.513629,1308988074.924056,1308987595.395778,1.0,110.317,22.417,614.4104270935059,fermi_tgf
TGF150625242,86.6667,-73.7833,1435203938.512579,1435204552.922,1435204077.074692,1.0,261.5,9.6667,614.409420967102,fermi_tgf
TGF230111190,221.8167,-73.5833,1673407896.825707,1673408511.239514,1673408033.020703,1.0,10.2667,-0.0833,614.4138071537018,fermi_tgf
TGF240330274,12.8167,-73.1667,1711776727.354784,1711777341.76497,1711776862.412833,1.0,102.0,-1.0167,614.4101860523224,fermi_tgf
TGF200614021,125.2667,-73.1333,1592087312.133783,1592087926.546705,1592087444.408342,1.0,281.3167,24.0667,614.4129219055176,fermi_tgf
TGF191211139,11.55,-72.85,1576030651.126224,1576031265.537295,1576030785.304494,1.0,163.1167,-7.8333,614.411071062088,fermi_tgf
TGF200226521,26.05,-72.75,1582716476.989777,1582717091.401251,1582716611.920246,1.0,129.3333,-13.2667,614.4114739894867,fermi_tgf
TGF230103836,145.7333,-72.6833,1672772474.298263,1672773088.712271,1672772612.749252,1.0,15.0667,0.2667,614.4140079021454,fermi_tgf
TGF111119856,264.5833,-72.4,1321730991.708581,1321731606.117962,1321731124.318564,1.0,111.867,-6.683,614.4093809127808,fermi_tgf
TGF111121780,212.4,-72.25,1321897258.929491,1321897873.338792,1321897394.147466,1.0,136.783,-0.767,614.4093010425568,fermi_tgf
TGF120827282,331.2167,-72.1167,1346042620.730947,1346043235.140932,1346042753.036888,1.0,137.6,-1.533,614.4099850654602,fermi_tgf
TGF180923900,87.8833,-72.0,1537731261.69624,1537731761.417931,1537731392.818683,1.0,280.1667,9.3833,499.7216911315918,fermi_tgf
TGF190508107,207.2333,-71.8833,1557275530.444421,1557276144.853923,1557275665.790378,1.0,112.3667,13.1833,614.409502029419,fermi_tgf
TGF110212898,31.9167,-71.65,1297542639.320259,1297542901.468304,1297542770.730168,1.0,290.033,2.783,262.1480448246002,fermi_tgf
TGF111126752,357.3,-71.35,1322326821.724686,1322327436.134429,1322326957.790776,1.0,115.883,2.733,614.4097430706024,fermi_tgf
TGF200221697,66.9167,-71.2667,1582299698.293859,1582300312.705453,1582299835.624355,1.0,83.05,-20.0833,614.411593914032,fermi_tgf
TGF170717676,225.2167,-71.1667,1500300648.706426,1500301263.116169,1500300780.964449,1.0,95.3667,22.8333,614.4097430706024,fermi_tgf
TGF210628068,58.1167,-71.1333,1624836938.515887,1624837184.279993,1624837074.438143,1.0,272.3167,13.0,245.76410603523252,fermi_tgf
TGF120708971,93.6,-71.1,1341782137.814239,1341782752.221246,1341782273.975641,1.0,140.033,20.6,614.4070069789886,fermi_tgf
TGF200312245,13.9833,-71.0,1583988659.290038,1583989273.700666,1583988797.292267,1.0,115.15,-12.8667,614.4106278419495,fermi_tgf
TGF170130027,92.05,-71.0,1485733026.619224,1485733641.030014,1485733160.637487,1.0,32.5,-20.5167,614.4107899665833,fermi_tgf
TGF110929614,80.6167,-70.9833,1317300128.481209,1317300742.890349,1317300261.651076,1.0,184.833,-23.417,614.4091398715973,fermi_tgf
TGF110928729,186.7667,-70.9167,1317223650.141294,1317224264.551641,1317223785.311432,1.0,22.017,6.083,614.4103469848633,fermi_tgf
TGF171124565,152.8167,-70.8667,1511526714.840133,1511527329.251768,1511526847.642511,1.0,108.6667,10.8833,614.4116351604462,fermi_tgf
TGF110918187,101.25,-70.7,1316312862.405574,1316313419.470869,1316312997.127797,1.0,284.967,11.967,557.0652949810028,fermi_tgf
TGF210214860,106.3833,-70.6833,1613331352.806482,1613331967.220369,1613331485.097335,1.0,37.75,-23.0333,614.4138870239258,fermi_tgf
TGF190517095,246.7333,-70.5667,1558052093.110035,1558052707.519014,1558052226.247837,1.0,89.6,24.4167,614.4089789390564,fermi_tgf
TGF170509445,153.75,-70.45,1494319130.80038,1494319745.209721,1494319263.92241,1.0,270.3333,13.75,614.409341096878,fermi_tgf
TGF120818925,125.3833,-70.4,1345320612.445991,1345321226.856016,1345320745.616059,1.0,281.3,19.05,614.4100248813629,fermi_tgf
TGF131017410,102.2667,-70.0167,1381996074.46399,1381996688.873452,1381996208.161917,1.0,72.6333,13.8833,614.4094619750977,fermi_tgf
TGF211106744,253.233,-70.0,1636217327.458245,1636217941.869316,1636217463.540588,1.0,303.5833,6.05,614.411071062088,fermi_tgf
TGF161104977,172.4333,-69.9167,1478298281.440821,1478298895.851007,1478298414.642915,1.0,68.95,7.6167,614.4101860523224,fermi_tgf
TGF150714960,57.6833,-69.5,1436907569.47795,1436908183.887975,1436907703.608102,1.0,346.9833,10.0667,614.4100248813629,fermi_tgf
TGF100928901,242.2833,-69.4167,1285702499.47966,1285703113.889243,1285702638.329722,1.0,117.783,10.917,614.4095828533173,fermi_tgf
TGF171119681,352.75,-69.15,1511104670.713149,1511105285.124099,1511104806.363469,1.0,117.0333,15.5667,614.4109499454498,fermi_tgf
TGF121012241,86.9333,-69.0333,1350013501.691173,1350014116.100554,1350013633.933023,1.0,91.333,22.9,614.4093809127808,fermi_tgf
TGF170424681,198.1,-68.8,1493043538.99413,1493044112.443967,1493043670.612326,1.0,107.6167,-8.4,573.4498372077942,fermi_tgf
TGF150209374,288.3167,-68.6,1423468615.58543,1423469229.995334,1423468753.091544,1.0,344.3833,2.5333,614.4099040031433,fermi_tgf
TGF160711992,133.383,-68.4167,1468273539.330961,1468274153.740382,1468273677.972896,1.0,281.5333,20.3667,614.409420967102,fermi_tgf
TGF190515435,171.5833,-68.35,1557908635.130203,1557909249.539021,1557908772.748044,1.0,287.6833,9.1833,614.4088180065155,fermi_tgf
TGF240517739,63.2667,-68.3,1715960474.926239,1715960851.76459,1715960612.768541,1.0,75.8167,9.6,376.83835101127625,fermi_tgf
TGF100501128,50.6667,-68.25,1272675698.98683,1272676313.396493,1272675832.428794,1.0,97.067,-0.4,614.4096629619598,fermi_tgf
TGF130202274,129.85,-68.25,1359783153.896584,1359783760.115464,1359783285.242763,1.0,149.2,-7.7333,606.2188799381256,fermi_tgf
TGF100713481,344.9,-68.1667,1279013410.698339,1279014025.106795,1279013542.684105,1.0,253.8,20.017,614.4084560871124,fermi_tgf
TGF190731188,99.0833,-68.0667,1564540111.690401,1564540578.642042,1564540247.084557,1.0,280.5833,8.25,466.9516408443451,fermi_tgf
TGF200213374,220.55,-67.9667,1581580538.588946,1581581087.465067,1581580671.727793,1.0,240.2167,-24.6167,548.8761208057404,fermi_tgf
TGF130321926,212.35,-67.8667,1363900278.775625,1363900893.184604,1363900418.025564,1.0,103.0167,-0.65,614.4089789390564,fermi_tgf
TGF160608977,251.05,-67.8167,1465421101.50754,1465421715.918007,1465421240.405761,1.0,267.8,18.8833,614.4104669094086,fermi_tgf
TGF101002507,41.0667,-67.6833,1286014065.793973,1286014680.204602,1286014198.548192,1.0,16.0,5.7,614.4106290340424,fermi_tgf
TGF170619358,158.35,-67.6333,1497854019.621849,1497854634.032719,1497854151.847968,1.0,151.8833,-9.15,614.4108698368073,fermi_tgf
TGF130415857,38.25,-67.5333,1366050719.217767,1366051333.627792,1366050853.187871,1.0,109.4,-1.8333,614.4100248813629,fermi_tgf
TGF130204258,134.35,-67.45,1359954599.746133,1359955205.964732,1359954731.300238,1.0,126.95,-13.0667,606.2185988426208,fermi_tgf
TGF160322317,312.7667,-67.25,1458628479.62375,1458629094.03462,1458628615.881993,1.0,126.85,-18.25,614.4108700752258,fermi_tgf
TGF140226794,78.7333,-67.2167,1393437655.853999,1393438262.070626,1393437787.34381,1.0,26.2833,-3.6333,606.2166271209717,fermi_tgf
TGF101128617,54.4167,-67.1667,1290951940.227114,1290952554.63903,1290952077.013618,1.0,43.117,-18.383,614.4119160175323,fermi_tgf
TGF110818474,263.1667,-67.0167,1313659224.193534,1313659838.602433,1313659362.83547,1.0,285.267,9.033,614.4088990688324,fermi_tgf
TGF150603062,6.3167,-66.8167,1433287594.71083,1433288045.278533,1433287728.025013,1.0,281.4,7.8667,450.5677030086517,fermi_tgf
TGF191005213,181.2667,-66.7667,1570244700.352478,1570245314.762382,1570244833.746444,1.0,92.0167,18.0333,614.4099040031433,fermi_tgf
TGF101219539,240.5667,-66.75,1292759633.028451,1292760247.439441,1292759766.3747,1.0,118.75,6.733,614.4109899997711,fermi_tgf
TGF161102468,276.75,-66.7,1478081474.149726,1478082088.560234,1478081609.831911,1.0,275.0667,9.0667,614.4105081558228,fermi_tgf
TGF140902738,292.4167,-66.4167,1409672389.791316,1409673004.201823,1409672527.617525,1.0,351.3333,12.7833,614.4105069637299,fermi_tgf
TGF211029845,206.45,-66.2167,1635531245.678146,1635531860.088332,1635531380.272347,1.0,95.45,17.2667,614.4101860523224,fermi_tgf
TGF190216584,20.8167,-66.0667,1550321934.719579,1550322549.13238,1550322073.234338,1.0,45.0,-19.15,614.412801027298,fermi_tgf
TGF230828990,196.067,-65.95,1693259011.87102,1693259593.51176,1693259149.632977,1.0,104.45,8.8333,581.6407399177551,fermi_tgf
TGF151120585,108.6833,-65.9333,1448024422.667684,1448025037.078996,1448024558.17401,1.0,27.45,-7.1,614.4113118648529,fermi_tgf
TGF130412908,265.2,-65.9333,1365795937.91977,1365796347.52644,1365796075.681888,1.0,283.6167,6.6333,409.6066699028015,fermi_tgf
TGF130702936,270.7833,-65.9333,1372796725.790745,1372797340.200166,1372796864.704777,1.0,259.85,22.6,614.409420967102,fermi_tgf
TGF100305806,44.05,-65.85,1267813140.546888,1267813754.957436,1267813274.389131,1.0,123.983,-7.1,614.4105479717255,fermi_tgf
TGF111027597,88.95,-65.8333,1319717834.281911,1319718448.69262,1319717970.668216,1.0,42.2,1.4,614.4107091426849,fermi_tgf
TGF100826543,22.3,-65.7833,1282820364.051238,1282820970.269756,1282820495.701338,1.0,98.1,-10.433,606.2185180187225,fermi_tgf
TGF200911939,132.5,-65.75,1599856201.414275,1599856815.826795,1599856338.568912,1.0,282.2,9.5667,614.4125201702118,fermi_tgf
TGF220921976,34.3167,-65.6333,1663795520.254532,1663795581.695639,1663795529.37474,1.0,273.85,16.2167,61.44110679626465,fermi_tgf
TGF220704208,32.6,-65.4667,1656903452.896607,1656904067.306471,1656903589.698681,1.0,124.7,24.1667,614.4098641872406,fermi_tgf
TGF090813215,112.1,-65.45,1250132882.979932,1250133497.3904,1250133014.79004,1.0,278.2299,-2.2187,614.4104678630829,fermi_tgf
TGF121117753,85.1667,-65.3667,1353171738.005085,1353172352.41511,1353171874.103241,1.0,66.4,-9.567,614.4100251197815,fermi_tgf
TGF180906075,310.233,-65.0833,1536191130.149813,1536191744.560803,1536191267.272143,1.0,16.35,-0.0667,614.4109899997711,fermi_tgf
TGF210918063,207.75,-64.9667,1631921321.65993,1631921936.069754,1631921459.870003,1.0,10.0833,6.1167,614.4098238945007,fermi_tgf
TGF200117374,172.2833,-64.8167,1579247787.076512,1579248401.488025,1579247925.878897,1.0,124.6167,-17.25,614.4115128517151,fermi_tgf
TGF130901904,10.0167,-64.7167,1378064411.619709,1378065026.027481,1378064546.597332,1.0,112.3833,6.55,614.407772064209,fermi_tgf
TGF110906986,325.35,-64.6667,1315345068.881772,1315345683.290309,1315345208.131631,1.0,87.5,10.567,614.4085369110107,fermi_tgf
TGF141116877,80.1667,-64.6167,1416168047.787389,1416168662.192063,1416168184.732452,1.0,111.3167,-2.6833,614.4046740531921,fermi_tgf
TGF120114380,275.5333,-64.5,1326528300.137258,1326528914.547886,1326528438.39549,1.0,177.283,-20.25,614.4106278419495,fermi_tgf
TGF180103442,97.1667,-64.3167,1514972053.797577,1514972668.209493,1514972192.136155,1.0,144.4833,-15.0167,614.4119160175323,fermi_tgf
TGF151210778,223.783,-64.25,1449769070.203619,1449769684.614488,1449769202.077858,1.0,18.55,-10.5,614.4108688831329,fermi_tgf
TGF180302863,76.3,-64.2,1520019644.167082,1520020258.576906,1520019776.04112,1.0,125.4,-6.4667,614.4098238945007,fermi_tgf
TGF220307463,231.2833,-64.0167,1646647462.366283,1646648076.777756,1646647598.272687,1.0,129.9667,-17.2,614.4114730358124,fermi_tgf
TGF150702707,14.0167,-63.9667,1435848931.790002,1435849546.199504,1435849064.767917,1.0,23.2167,3.9333,614.4095017910004,fermi_tgf
TGF140715983,72.4,-63.9333,1405459975.224826,1405460589.634086,1405460113.034821,1.0,261.8833,19.65,614.4092597961426,fermi_tgf
TGF200630518,178.5,-63.9,1593512619.843596,1593513234.252575,1593512752.741407,1.0,280.5833,6.9333,614.4089789390564,fermi_tgf
TGF170316973,338.0333,-63.7667,1489702758.902961,1489703053.82001,1489702892.169186,1.0,281.9667,1.8667,294.9170489311218,fermi_tgf
TGF230409785,344.55,-63.7167,1681059030.11895,1681059058.791375,1681059039.095123,1.0,16.2167,-5.6333,28.672425031661987,fermi_tgf
TGF160519606,196.8,-63.65,1463661052.770129,1463661667.179953,1463661191.988243,1.0,61.3167,-1.85,614.4098241329193,fermi_tgf
TGF211113838,219.05,-63.5667,1636830267.655009,1636830882.068454,1636830405.049919,1.0,24.3833,-1.45,614.4134449958801,fermi_tgf
TGF151104733,56.35,-63.5,1446654787.852478,1446655402.262583,1446654922.414573,1.0,125.35,5.95,614.4101049900055,fermi_tgf
TGF230913408,116.85,-63.45,1694591101.002328,1694591715.412594,1694591233.020481,1.0,193.6,8.8167,614.410266160965,fermi_tgf
TGF221008989,129.9667,-63.45,1665265351.809186,1665265966.221102,1665265489.939718,1.0,92.1167,-3.1167,614.4119160175323,fermi_tgf
TGF200919624,185.4167,-63.4,1600520224.302502,1600520797.752419,1600520321.328127,1.0,121.5333,6.3,573.4499170780182,fermi_tgf
TGF211026787,226.3333,-63.1333,1635267075.375272,1635267689.786464,1635267211.201653,1.0,20.8833,9.2667,614.4111919403076,fermi_tgf
TGF240106572,46.1667,-63.0833,1704544904.112214,1704545510.33375,1704545035.506995,1.0,140.5667,-12.5,606.2215359210968,fermi_tgf
TGF140325760,12.2833,-63.0333,1395767512.889595,1395768127.30127,1395767647.083999,1.0,14.35,6.0833,614.4116749763489,fermi_tgf
TGF100207843,78.5167,-63.0167,1265569931.125478,1265570545.536187,1265570066.247739,1.0,107.586,-4.03,614.4107089042664,fermi_tgf
TGF100223288,93.7833,-62.8833,1266904326.481292,1266904940.893207,1266904464.611824,1.0,165.2,-14.1,614.411915063858,fermi_tgf
TGF200904434,195.1667,-62.8167,1599207790.875283,1599208405.286756,1599207923.78967,1.0,287.15,15.1833,614.4114730358124,fermi_tgf
TGF151207404,202.0833,-62.8,1449477568.04308,1449478174.26184,1449477699.789257,1.0,158.35,-0.8167,606.2187600135803,fermi_tgf
TGF120822711,104.6667,-62.7833,1345647656.726682,1345648271.136948,1345647795.928904,1.0,16.9,-0.717,614.410266160965,fermi_tgf
TGF180510906,57.6833,-62.65,1525981380.775863,1525981995.185365,1525981514.889841,1.0,114.8833,7.85,614.409502029419,fermi_tgf
TGF110405618,328.2667,-62.6333,1302007656.483413,1302008270.894565,1302007790.629698,1.0,47.017,-20.15,614.4111521244049,fermi_tgf
TGF231130359,156.183,-62.5833,1701329724.602249,1701330339.016579,1701329859.437205,1.0,112.3833,4.0833,614.4143300056458,fermi_tgf
TGF191222795,206.7167,-62.5333,1577037774.937923,1577038389.351971,1577037911.644927,1.0,28.7,1.75,614.4140479564667,fermi_tgf
TGF141214588,237.117,-62.5167,1418562308.395685,1418562914.61352,1418562439.645667,1.0,24.0333,-13.4833,606.2178349494934,fermi_tgf
TGF180731493,119.583,-62.4333,1533030444.192311,1533031058.602698,1533030577.314502,1.0,159.3667,-3.9833,614.4103870391846,fermi_tgf
TGF220604466,142.68,-62.4,1654333709.832653,1654334324.242477,1654333847.00274,1.0,7.0333,3.6667,614.4098238945007,fermi_tgf
TGF150103445,157.3667,-62.35,1420277922.387712,1420278536.798581,1420278057.541998,1.0,40.1667,-13.95,614.4108688831329,fermi_tgf
TGF200603333,304.0667,-62.2167,1591163869.117521,1591164483.529638,1591164006.000102,1.0,301.2667,22.95,614.4121170043945,fermi_tgf
TGF110709981,140.8167,-62.2,1310247025.146058,1310247639.554957,1310247161.547893,1.0,121.317,25.483,614.4088988304138,fermi_tgf
TGF141111819,142.2167,-62.1167,1415731051.889522,1415731666.297495,1415731188.291197,1.0,356.5333,5.0667,614.4079728126526,fermi_tgf
TGF110601852,69.85,-62.0167,1306952710.313688,1306953283.762439,1306952808.235064,1.0,24.083,6.667,573.4487509727478,fermi_tgf
TGF220507092,94.1333,-61.9833,1651882190.358227,1651882804.770304,1651882324.104716,1.0,14.5833,-1.7332999999999998,614.4120769500732,fermi_tgf
TGF121028243,97.8667,-61.9833,1351399639.244802,1351400253.655592,1351399777.5351,1.0,175.667,-14.567,614.4107899665833,fermi_tgf
TGF110724020,15.4333,-61.9667,1311459976.152505,1311460590.562168,1311460109.610522,1.0,281.883,7.4,614.4096629619598,fermi_tgf
TGF200904959,19.6833,-61.9167,1599253161.100084,1599253775.511597,1599253296.542479,1.0,77.3667,20.4,614.4115128517151,fermi_tgf
TGF130228676,256.7167,-61.7833,1362064238.930257,1362064853.341247,1362064373.71653,1.0,33.7667,-16.1667,614.4109899997711,fermi_tgf
TGF120604082,98.6167,-61.7333,1338767755.143486,1338768369.552384,1338767887.305272,1.0,146.7,-4.083,614.4088978767395,fermi_tgf
TGF170907059,267.267,-61.5167,1504740184.164155,1504740798.574743,1504740317.142311,1.0,283.75,21.3333,614.4105880260468,fermi_tgf
TGF171025401,160.0,-61.48,1508916934.823906,1508917549.235219,1508917071.818295,1.0,138.45,22.5,614.4113130569458,fermi_tgf
TGF180414421,249.1333,-61.3167,1523693034.705614,1523693649.117811,1523693167.956108,1.0,114.0,-2.4,614.4121968746185,fermi_tgf
TGF161017935,345.467,-61.2167,1476735847.000547,1476736461.410008,1476735980.874494,1.0,175.4167,-14.5167,614.4094610214233,fermi_tgf
TGF120727939,16.9167,-61.05,1343421004.061656,1343421618.470111,1343421143.183452,1.0,125.3,3.417,614.4084548950195,fermi_tgf
TGF140810453,263.9167,-60.9333,1407660616.451418,1407661230.86084,1407660753.077473,1.0,270.9,14.1,614.409422159195,fermi_tgf
TGF161213785,225.2833,-60.9,1481651262.627281,1481651877.038151,1481651394.645515,1.0,29.4667,-13.4,614.4108700752258,fermi_tgf
TGF140607857,119.5667,-60.8167,1402165868.933992,1402166483.34289,1402166003.847885,1.0,116.25,2.2167,614.4088981151581,fermi_tgf
TGF220410697,35.0,-60.7833,1649601646.610776,1649602261.022007,1649601781.98912,1.0,19.3167,-9.3,614.4112310409546,fermi_tgf
TGF130516258,324.3833,-60.6833,1368677338.541557,1368677952.949932,1368677470.719235,1.0,124.6,13.9167,614.4083750247955,fermi_tgf
TGF111031274,269.55,-60.5667,1320039140.764488,1320039308.703107,1320039279.662669,1.0,304.3,1.267,167.9386191368103,fermi_tgf
TGF210426456,300.8833,-60.5333,1619427305.555785,1619427919.969068,1619427439.046551,1.0,112.4,1.55,614.4132831096649,fermi_tgf
TGF231124834,314.783,-60.3667,1700852360.805295,1700852975.219625,1700852494.824323,1.0,19.3167,-11.8833,614.4143300056458,fermi_tgf
TGF100728940,127.9833,-60.35,1280349047.625773,1280349662.035757,1280349179.883836,1.0,23.733,-2.283,614.4099841117859,fermi_tgf
TGF141213624,274.1167,-60.35,1418479020.937483,1418479635.347387,1418479156.683518,1.0,172.35,1.8167,614.4099040031433,fermi_tgf
TGF111122706,262.6,-60.2333,1321977297.050299,1321977911.459881,1321977434.796363,1.0,149.233,-4.05,614.4095821380615,fermi_tgf
TGF220325067,163.2833,-60.2,1648168455.460614,1648169069.870357,1648168590.022749,1.0,28.0833,-14.3667,614.4097430706024,fermi_tgf
TGF120113235,208.15,-60.2,1326429359.437506,1326429973.84745,1326429492.607574,1.0,131.783,-10.633,614.4099440574646,fermi_tgf
TGF190514672,314.5833,-60.1167,1557842705.200504,1557843319.610891,1557842843.938677,1.0,10.2,-0.8,614.4103870391846,fermi_tgf
TGF170826346,293.2167,-59.95,1503728122.620396,1503728737.0303,1503728259.374472,1.0,139.5,-3.4333,614.4099040031433,fermi_tgf
TGF170823470,288.1167,-59.6333,1503479653.714313,1503480161.625539,1503479790.036124,1.0,282.9167,9.9333,507.9112260341644,fermi_tgf
TGF180727055,221.1333,-59.6167,1532646984.938438,1532647599.349912,1532647124.156915,1.0,280.2667,23.15,614.4114739894867,fermi_tgf
TGF170619685,344.2,-59.5667,1497882227.569069,1497882841.979858,1497882359.843266,1.0,13.25,-0.55,614.4107890129089,fermi_tgf
