GRB Name;Trigger Time;BAT Ra;BAT Dec;BAT T90;BAT Fluence;XRTSpectral Index;Ra;Dec;Normalised Duration;source
240123A;1706004346.0;199.28713:17:08.9;60.60760:36:25.2;115.30;16+/-2;2.037532978;199.42;61.213;115.30;swift
240122A;1705915683.0;92.82706:11:18.5;-19.031-19:01:51.6;;;1.815806358;92.889;-19.221;;swift
240118A;1705538889.0;18.5701:14:16.8;29.7929:47:24;;;2.155041807;18.582;30.088;;swift
240112C;1705077444.0;270.64418:02:34.6;24.48724:29:13.2;;;1.954809978;270.824;24.732;;swift
240109A;1704769295.0;301.33020:05:19.2;16.56616:33:57.6;0.16;0.12+/-0.04;;301.531;16.732;0.16;swift
240102A;1704213295.0;96.84806:27:23.5;-20.011-20:00:39.6;119.00;8.5+/-1.3;1.817263146;96.913;-20.211;119.00;swift
240101B;1704137139.0;352.14723:28:35.3;51.64651:38:45.6;43.1;4.6+/-0.8;2.394483094;352.382;52.162;43.1;swift
240101A;1704063600.0;10.28900:41:09.4;8.54008:32:24;15.8;3.3+/-0.7;2.11460126;10.296;8.625;15.8;swift
231230A;1703896148.0;245.22316:20:53.5;58.13258:07:55.2;15.2;21+/-1;1.945300942;245.386;58.713;15.2;swift
231222B;1703226362.0;251.3516:45:24;19.5519:33:00;;;1.652262573;251.518;19.745;;swift
231216A;1702748142.0;39.77802:39:06.7;33.61433:36:50.4;51.2;10+/-1;2.041064841;39.805;33.95;51.2;swift
231215A;1702630045.0;9.73000:38:55.2;57.63457:38:02.4;20.75;100+/-10;1.927289232;9.736;58.21;20.75;swift
231214A;1702581868.0;305.66620:22:39.8;-72.432-72:25:55.2;27.8;96+/-3;2.406159215;305.87;-73.156;27.8;swift
231210B;1702240144.0;95.80306:23:12.7;-48.335-48:20:06;7.47;14+/-2;1.66432281;95.867;-48.818;7.47;swift
231205B;1701791039.0;54.15103:36:36.2;27.15027:09:00;46.94;74+/-2;2.057236542;54.187;27.421;46.94;swift
231129C;1701281418.0;2.000:07:60;-81.5-81:30:00;;;1.724075979;2.001;-82.315;;swift
231129A;1701230759.0;317.54121:10:09.8;41.53041:31:48;105.46;130;2.237976442;317.753;41.945;105.46;swift
231118A;1700324193.0;4.84000:19:21.6;-48.044-48:02:38.4;37.63;37+/-2;1.512685845;4.843;-48.524;37.63;swift
231117A;1700186599.0;332.40422:09:37;13.51613:30:57.6;0.67;23+/-1;1.809041907;332.626;13.651;0.67;swift
231111A;1699708639.0;290.19719:20:47.3;52.44052:26:24;34.08;34+/-1;1.977209951;290.39;52.964;34.08;swift
231110A;1699647574.0;356.24423:44:58.6;82.63082:37:48;11.34;15+/-1;3.119707183;356.481;83.456;11.34;swift
231104A;1699058859.0;23.82401:35:17.8;83.79483:47:38.4;46.77;130;1.92885282;23.84;84.632;46.77;swift
231028A;1698458949.0;214.01614:16:03.8;20.89720:53:49.2;37.23;72+/-2;;214.159;21.106;37.23;swift
231017A;1697522703.0;86.19105:44:45.8;56.66656:39:57.6;;;;86.248;57.233;;swift
230911C;1694414845.0;226.79615:07:11;-41.356-41:21:21.6;16.21;3.8+/-0.6;1.85704;226.947;-41.77;16.21;swift
230911A;1694394572.0;59.803:59:12;-34.4-34:24:00;;;;59.84;-34.744;;swift
230903A;1693754576.0;9.89800:39:35.5;-40.910-40:54:36;2.54;2.2+/-0.4;2.01968;9.905;-41.319;2.54;swift
230827B;1693109310.0;299.3219:57:16.8;56.4756:28:12;;;1.59032;299.52;57.035;;swift
